id,sehir,yas,tarih,korumaemri,neden1,neden2,katil1,katil2,oldurmeyolu1,oldurmeyolu2,oldurmeyolu3,katildurumu,yil
1450, Kayseri ,, 12/11/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1451, Kirikkale ,, 13/03/2016 ,   Yok ,Namus,,Babasi,,Kesici Alet,Bogulma,, Tutuklu ,2016
1452, Kirklareli , Resit , 13/04/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2016
1453, Kocaeli ,, 13/08/2016 ,   Yok ,Kizini Korurken,,Damadi,,Atesli Silah,,, Intihar ,2016
1454, Konya , Resit , 14/02/2016 ,   Yok ,Tartisma,,Eski Kocasi,,Kesici Alet,,, Tutuklu ,2016
1455, Konya ,, 14/04/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Asma,,, Tespit Edilemeyen,2016
1456, Konya , Resit , 14/04/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2016
1457, Konya ,, 14/04/2016 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Intihar ,2016
1458, Konya ,, 14/05/2016 ,   Yok ,Gecimsizlik,Tartisma,Babasi,,Atesli Silah,,, Tutuklu ,2016
1459, Konya ,, 14/06/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1460, Kutahya ,, 14/07/2016 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Intihar ,2016
1461, Kutahya ,, 14/07/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1462, Malatya , Resit , 14/09/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1463, Manisa ,, 14/10/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1464, Manisa , Resit , 14/12/2016 ,   Yok ,Ayrilik Talebi,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2016
1465, Mardin ,, 15/02/2016 ,   Yok ,Kaza,,Uvey Oglu,,Atesli Silah,,, Tutuklu ,2016
1466, Mardin , Resit , 15/02/2016 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Bogulma,Darp,, Tutuklu ,2016
1467, Mersin , Resit , 15/03/2016 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1468, Mersin , Resit , 15/03/2016 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Araniyor ,2016
1469, Mersin ,, 15/04/2016 ,   Yok ,Ayrilik,,Kocasi,,Atesli Silah,,,,2016
1470, Mersin , Resit , 15/07/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1471, Mersin , Resit Degil , 15/08/2016 ,   Yok ,Tespit Edilemeyen,,Babasi,,Atesli Silah,,, Intihar ,2016
1472, Mugla , Resit , 15/09/2016 ,   Yok ,Tartisma,,Sevgilisi,,Darp,Kesici Alet,, Tutuklu ,2016
1473, Mugla , Resit , 15/09/2016 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Intihar ,2016
1474, Ordu , Resit , 16/02/2016 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1475, Ordu , Resit , 16/03/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2016
1476, Ordu , Resit , 16/03/2016 ,   Yok ,Tartisma,,Oglu,,Bogulma,,, Tutuklu ,2016
1477, Osmaniye , Resit , 16/04/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1478, Rize , Resit , 16/05/2016 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Kesici Alet,Atesli Silah,, Tutuklu ,2016
1479, Samsun , Resit , 16/11/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2016
1480, Samsun , Resit , 16/11/2016 ,   Yok ,Tatisma,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2016
1481, Samsun , Resit , 16/12/2016 ,   Yok ,Alzheimer Hastasi Oldugu Icin,,Oglu,Gelini,Darp,,, Sorusturma suruyor,2016
1482, Samsun ,, 16/12/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2016
1483, Sivas , Resit , 17/06/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1484, Tekirdag , Resit , 17/08/2016 ,   Yok ,Tartisma,,Sevgilisi,,Yuksekten Dusme,,, Tutuklu ,2016
1485, Tekirdag ,, 17/08/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2016
1486, Tekirdag ,, 17/08/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Araniyor ,2016
1487, Tokat ,, 17/09/2016 ,   Yok ,Reddedilme,,Eski Sevgilisi,,Kesici Alet,,, Tutuklu ,2016
1488, Tokat , Resit , 17/09/2016 ,   Var,Reddedilme,,Eski Kocasi,,Atesli Silah,,, Araniyor ,2016
1489, Tokat , Resit , 17/09/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2016
1490, Tokat , Resit , 17/10/2016 ,   Yok ,Reddedilme,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2016
1491, Tokat , Resit , 17/10/2016 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2016
1492, Tokat ,, 17/10/2016 ,   Yok ,Reddedilme,Tartisma,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1493, Izmir , Resit , 17/10/2016 ,   Yok ,Tespit Edilemeyen,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1494, Trabzon , Resit , 17/11/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2016
1495, Trabzon ,, 17/11/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Intihar ,2016
1496, Tunceli , Resit , 17/12/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2016
1497, Tunceli , Resit , 17/12/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Intihar ,2016
1498, Tunceli ,Resit, 17/12/2016 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,,,2016
1499, Van , Resit , 18/01/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Araniyor ,2016
1500, Yalova , Resit , 18/02/2016 ,   Yok ,Tartisma,Kiskanclik,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1501, Yozgat , Resit , 18/03/2016 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Intihar ,2016
1502, Zonguldak ,, 18/04/2016 ,   Yok ,Para,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2016
1503, Zonguldak , Resit , 18/05/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1504,,, 18/07/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2016
1505,,, 18/08/2016 ,   Yok ,Kiskanclik,,Kocasi,,Iskence,,,,2016
1506,,, 18/09/2016 ,   Yok ,Para,,Tanimadigi Birisi,,Darp,,,,2016
1507,,, 18/09/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2016
1508,,, 18/10/2016 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,,,2016
1509,,, 18/12/2016 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,,,2016
1510,,, 18/12/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Bogulma,,,,2016
1511,,, 18/12/2016 ,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Iskence,,,,2016
1512,,, 19/01/2016 ,   Yok ,Yetistirme Yurdundan Kactigi Icin,,Babasi,,Kesici Alet,,,,2016
1513,,, 19/04/2016 ,   Yok ,Bosanma,,Kocasi,,Kesici Alet,,,,2016
1514,,, 19/07/2016 ,   Yok ,Namus,,Kocasi,,Atesli Silah,,,,2016
1515,,, 19/08/2016 ,   Yok ,Tespit Edilemeyen,,Babasi,,Atesli Silah,,,,2016
1516,,, 19/09/2016 ,   Yok ,Tespit Edilemeyen,,Arkadasi,,Tespit Edilemeyen,,,,2016
1517,,, 19/09/2016 ,   Yok ,Reddedilme,,Tanimadigi Birisi,,Bogulma,,,,2016
1518,,, 19/11/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2016
1519,,, 19/11/2016 ,   Yok  ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yakilma,,,,2016
1520,,, 20/02/2016 ,    ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2016
1521,,, 20/03/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2016
1522,,, 20/04/2016 ,   Yok ,Tartisma,,Eski Kocasi,,Bogulma,,,,2016
1523,,, 20/06/2016 ,   Yok,Ayrilik,,Kocasi,,Atesli Silah,,,,2016
1524,,, 20/06/2016 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,,,2016
1525,,, 20/07/2016 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Akrabasi,,Atesli Silah,,,,2016
1526,,, 20/08/2016 ,   Yok ,Tartisma,,Babasi,,Atesli Silah,,,,2016
1527,,, 20/08/2016 ,   Tespit Edilemeyen ,Reddedilme,,Abisi,,Atesli Silah,,,,2016
1528,,, 21/03/2016 ,   Yok ,Reddedilme,,Tanidigi BIrisi,,Kesici Alet,,,,2016
1529,,, 21/06/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2016
1530,,, 21/09/2016 ,   Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,,2016
1531,,, 21/09/2016 ,   Tespit Edilemeyen ,Kadin hayatina dair bir karar vermek istedigi icin,,Kocasi,,Bogulma,,,,2016
1532,,, 21/10/2016 ,   Yok ,Tartisma,,Tanidigi Birisi,,Darp,,,,2016
1533,,, 21/11/2016 ,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kuzeni,,Bogulma,,,,2016
1534,,, 21/11/2016 ,   Yok ,Bosanma,,Kocasi,,Atesli Silah,,,,2016
1535,,, 22/02/2016 ,   Yok ,Tecavuze Direnme,,Tanimadigi Birisi,,Kesici Alet,,,,2016
1536,,, 22/03/2016 ,   Yok,Para,,Babasi,,Atesli Silah,,,,2016
1537,,, 22/03/2016 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,,,2016
1538,,, 22/04/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2016
1539,,, 22/04/2016 ,   Yok ,Tespit Edilemeyen,,Eski Sevgilisi,,Atesli Silah,,,,2016
1540,,, 22/06/2016 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2016
1541,,, 22/09/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2016
1542,,, 22/11/2016 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,,,2016
1543,,, 23/06/2016 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2016
1544,,, 23/06/2016 ,   Tespit Edilemeyen ,Para,,Akrabasi,,Kesici Alet,,,,2016
1545,,, 23/07/2016 ,   Yok  ,Tespit Edilemeyen,,Sevgilisi,,Kesici Alet,,,,2016
1546,,, 23/09/2016 ,   Yok ,Dugunun Ertelenmesi,,Nisanlisi,,Kesici Alet,,,,2016
1547,,, 23/12/2016 ,   Yok ,Barisma Talebi,,Kocasi,,Atesli Silah,,,,2016
1548,,, 24/02/2016 ,   Yok ,Tespit Edilemeyen,,Eski Sevgilisi,,Atesli Silah,,,,2016
1549,,, 24/02/2016 ,   Yok ,Para,,Tanidigi Birisi,,Atesli Silah,,,,2016
1550,,, 24/02/2016 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Kesici Alet,,,,2016
1551,,, 24/02/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2016
1552,,, 24/03/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2016
1553,,, 24/06/2016 ,   Yok ,Ayrilik,,Sevgilisi,,Atesli Silah,,,,2016
1554,,, 24/06/2016 ,   Yok ,Tespit Edilemeyen,,Babasi,,Atesli Silah,,,,2016
1555,,, 24/10/2016 ,   Yok ,Reddedilme,,Arkadasi,,Atesli Silah,,,,2016
1556,,, 24/11/2016  ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Kocasi,,Iskence,,,,2016
1557,,, 25/02/2016 ,   Yok ,Ayrilik Talebi,Tartisma,Kocasi,,Kesici Alet,,,,2016
1558,,, 25/05/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2016
1559,,, 25/06/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2016
1560,,, 25/10/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2016
1561,,, 26/01/2016 ,   Yok ,Ofke,,Kocasi,,Atesli Silah,,,,2016
1562,,, 26/01/2016 ,   Var ,Bosanma Talebi,,Enistesi,,Atesli Silah,,,,2016
1563,,, 26/03/2016 ,   Yok ,Ayrilik,,Akrabasi,,Atesli Silah,,,,2016
1564,,, 26/03/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2016
1565,,, 26/04/2016 ,   Var ,Bosanma Talebi,,Kocasi,,Kesici Alet,,,,2016
1566,,, 26/06/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2016
1567,,, 26/06/2016 ,   Yok ,Siddetli Gecimsizlik,,Kocasi,,Atesli Silah,,,,2016
1568,,, 26/07/2016 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,,,2016
1569,,, 26/07/2016 ,   Yok ,Nefret,,Tespit Edilemeyen,,Atesli Silah,,,,2016
1570,,, 26/08/2016 ,   Yok ,Kizlarini Oldurdugu Icin,,Kocasi,,Kesici Alet,,,,2016
1571,,, 26/08/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2016
1572,,, 26/10/2016 ,   Yok,Bosanma,,Kocasi,,Tespit Edilemeyen,,,,2016
1573,,, 27/02/2016 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,,,2016
1574,,, 27/05/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2016
1575,,, 27/07/2016 ,   Yok ,Tespit Edilemeyen,,Enistesi,,Darp,,,,2016
1576,,, 27/08/2016 ,   Yok,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Atesli Silah,,,,2016
1577,,, 27/09/2016 ,   Yok ,Annesini Korurken,,Babasi,,Atesli Silah,,,,2016
1578,,, 27/09/2016 ,   Yok ,Tartisma,,Nisanlisi,,Kesici Alet,,,,2016
1579,,, 27/10/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2016
1580,,, 28/03/2016 ,   Tespit Edilemeyen ,Ayrilik,,Eski Sevgilisi,,Atesli Silah,,,,2016
1581,,, 28/03/2016 ,   Yok ,Kiskanclik,,Kocasi,,Bogulma,,,,2016
1582,,, 28/05/2016 ,   Yok  ,Tespit Edilemeyen,,Kocasi,,Darp,,,,2016
1583,,, 28/06/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2016
1584,,, 28/09/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2016
1585,,, 28/10/2016 ,   Yok ,Para,,Tanidigi Birisi,,Tespit Edilemeyen,,,,2016
1586,,, 29/03/2016 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Kesici Alet,,,,2016
1587,,, 29/03/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,,,2016
1588,,, 29/03/2016 ,   Yok ,Para,,Abisi,,Atesli Silah,,,,2016
1589,,, 29/05/2016 ,   Yok ,Tartisma,,Tanidigi Birisi,,Kesici Alet,,,,2016
1590,,, 29/09/2016 ,   Yok ,Kadin hayatina dair bir karar vermek istedigi icin,,Sevgilisi,,Atesli Silah,,,,2016
1591,,, 29/10/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2016
1592,,, 29/11/2016 ,   Tespit Edilemeyen ,Kiskanclik,,Ailesi,Erkek Kardesi,Darp,,,,2016
1593,,, 30/01/2016 ,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Sevgilisi,,Kesici Alet,,,,2016
1594,,, 30/01/2016 ,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Kesici Alet,,,,2016
1595,,, 30/03/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Asma,,,,2016
1596,,, 30/04/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2016
1597,,, 30/05/2016 ,   Yok  ,Dedikodu,,Tanidigi Birisi,,Kesici Alet,,,,2016
1598,,, 30/05/2016 ,   Yok ,Kriz ve Issizlik,,Kocasi,,Kesici Alet,,,,2016
1599,,, 30/05/2016 ,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Atesli Silah,,,,2016
1600,,, 30/08/2016 ,   Yok ,Para,,Tanidigi Birisi,,Kesici Alet,,,,2016
1601,,, 30/09/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2016
1602,,, 30/11/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1603,,, 31/03/2016 ,   Yok ,Tore,,Babasi,,Bogulma,,,,2016
1604,,, 31/03/2016 ,   Yok ,Namus,,Babasi,,Kesici Alet,,,,2016
1605,,, 31/07/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,,2016
1606, Adana , Resit ,01/01/2017,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2017
1607, Adana , Resit ,01/01/2017,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2017
1608, Ankara , Resit ,02/01/2017,   Yok ,Reddedilme,,Kocasi,,Kesici Alet,,, Tutuklu ,2017
1609, Ankara , Resit ,02/01/2017,   Yok ,Kizini Korurken,,Damadi,,Atesli Silah,,, Araniyor ,2017
1610, Antalya , Resit ,03/01/2017,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Darp,,, Tutuklu ,2017
1611, Adana , Resit ,04/01/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2017
1612, Balikesir ,,04/01/2017,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Tutuklu ,2017
1613, Balikesir , Resit Degil ,04/01/2017,   Yok ,Maganda Kursunu,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2017
1614, Bursa , Resit ,05/01/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2017
1615, Bursa , Resit ,05/01/2017,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2017
1616, Bursa ,,05/01/2017,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2017
1617, Izmir ,,12/01/2017,   Yok ,Aldatilma Suphesi,,Sevgilisi,,Tespit Edilemeyen,,, Tutuklu ,2017
1618, Izmir , Resit ,12/01/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2017
1619, Kayseri ,,13/01/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2017
1620, Adana ,,14/01/2017,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Intihar ,2017
1621, Manisa ,,15/01/2017,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Kacak ,2017
1622, Manisa ,,15/01/2017,   Yok ,Kaza,,Kocasi,,Atesli Silah,,, Tutuklu ,2017
1623, Nevsehir , Resit ,16/01/2017,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Tutuklu ,2017
1624, Samsun , Resit ,17/01/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2017
1625, Samsun , Resit ,17/01/2017,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2017
1626, Samsun , Resit ,17/01/2017,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2017
1627, Samsun ,,17/01/2017,   Yok ,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,, Intihar ,2017
1628, Samsun ,,17/01/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2017
1629, Samsun , Resit ,17/01/2017,   Yok ,Tartisma,,Babasi,,Atesli Silah,,, Tutuklu ,2017
1630, Samsun , Resit Degil ,17/01/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tutuklu ,2017
1631,,,19/01/2017,   Yok ,Tespit Edilemeyen,,Kocasi,,Bogulma,,,,2017
1632,,,20/01/2017,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Kesici Alet,,,,2017
1633,,,20/01/2017,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2017
1634,,,21/01/2017,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Sevgilisi,,Bogulma,,,,2017
1635,,,22/01/2017,   Yok ,Dedikodu,,Kocasi,,Atesli Silah,,,,2017
1636,,,23/01/2017,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2017
1637,,,23/01/2017,   Tespit Edilemeyen,Reddedilme,,Kocasi,,Bogulma,,,,2017
1638,,,24/01/2017,   Yok ,Para,Tecavuz,Tanidigi Birisi,,Kesici Alet,,,,2017
1639,,,27/01/2017,   Yok ,Aldatilma Suphesi,,Sevgilisi,,Atesli Silah,,,,2017
1640,,,27/01/2017,   Tespit Edilemeyen ,Kiskanclik,,Kocasi,,Atesli Silah,,,,2017
1641,,,28/01/2017,   Yok ,Tartisma,,Oglu,,Kesici Alet,,,,2017
1642,,,28/01/2017,   Yok ,Kizini Korurken,,Damadi,,Atesli Silah,,,,2017
1643,,,28/01/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2017
1644,,,28/01/2017,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,,,2017
1645,,,30/01/2017,   Yok ,Tespit Edilemeyen,,Kayinpederi,,Bogulma,,,,2017
1646, Adana , Resit ,01/02/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2017
1647, Antalya , Resit ,03/02/2017,   Yok ,Kiskanclik,,Kocasi,,Bogulma,,, Tutuklu ,2017
1648, Bursa ,Resit,05/02/2017,   Yok ,Namus,,Damadi,,Atesli Silah,,,,2017
1649, Eskisehir , Resit ,07/02/2017,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,, Intihar ,2017
1650, Hatay , Resit ,08/02/2017,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2017
1651, Izmir ,,12/02/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2017
1652,,,19/02/2017,   Yok ,Tartisma,,Esinin Kardesi,,Kesici Alet,,,,2017
1653,,,22/02/2017,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Atesli Silah,,,,2017
1654,,,22/02/2017,   Yok ,Tartisma,,Eski Sevgilisi,,Atesli Silah,,,,2017
1655,,,25/02/2017,   Yok ,Tartisma,,Eski Kocasi,,Atesli Silah,,,,2017
1656,,,27/02/2017,   Yok ,Tespit Edilemeyen,,Babasi,,Kesici Alet,,,,2017
1657, Adana , Resit ,01/03/2017,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2017
1658, Adana , Resit ,01/03/2017,   Yok ,Kiz Kardesini Korurken,,Enistesi,,Atesli Silah,,, Tutuklu ,2017
1659, Diyarbakir ,,06/03/2017,   Yok ,Tartisma,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2017
1660, Diyarbakir , Resit ,06/03/2017,   Var ,Bosanma Talebi ,Tartisma,Kocasi,,Atesli Silah,,, Tutuklu ,2017
1661, Eskisehir , Resit ,07/03/2017,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2017
1662, Istanbul ,,09/03/2017,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2017
1663, Istanbul ,Resit,10/03/2017,   Yok ,Seri Cinayet,,Seri Katil,3 Kadin Olumu,Iskence,,,,2017
1664, Istanbul , Resit ,10/03/2017,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Tutuklu ,2017
1665, Istanbul , Resit ,11/03/2017,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,, Tutuklu ,2017
1666, Kayseri , Resit ,13/03/2017,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2017
1667, Manisa , Resit ,15/03/2017,   Yok ,Kiskanclik,,Kocasi,,Darp,,, Tutuklu ,2017
1668, Samsun ,,17/03/2017,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Darp,,, Tutuklu,2017
1669, Tunceli ,Resit,18/03/2017,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Sevgilisi,,Atesli Silah,,,,2017
1670,,,19/03/2017,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Intihar ,2017
1671,,,19/03/2017,   Tespit Edilemeyen ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2017
1672,,,20/03/2017,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2017
1673,,,21/03/2017,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,,,2017
1674,,,21/03/2017,   Yok ,Kiskanclik,,Sevgilisi,,Atesli Silah,,,,2017
1675,,,21/03/2017,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2017
1676,,,22/03/2017,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2017
